model,storage_gb,cdiscount_price_eur
iPhone 11,64,184
iPhone 11,128,209.35
iPhone 11,256,194
iPhone 11 Pro,64,218
iPhone 11 Pro,256,237
iPhone 11 Pro,512,229
iPhone 11 Pro Max,64,229
iPhone 11 Pro Max,256,299
iPhone 11 Pro Max,512,299
iPhone SE 2020,64,
iPhone SE 2020,128,
iPhone SE 2020,256,
iPhone 12 mini,64,
iPhone 12 mini,128,
iPhone 12 mini,256,
iPhone 12,64,
iPhone 12,128,
iPhone 12,256,
iPhone 12 Pro,128,
iPhone 12 Pro,256,
iPhone 12 Pro,512,
iPhone 12 Pro Max,128,
iPhone 12 Pro Max,256,
iPhone 12 Pro Max,512,
iPhone 13 mini,128,
iPhone 13 mini,256,
iPhone 13 mini,512,
iPhone 13,128,
iPhone 13,256,
iPhone 13,512,
iPhone 13 Pro,128,
iPhone 13 Pro,256,
iPhone 13 Pro,512,
iPhone 13 Pro,1024,
iPhone 13 Pro Max,128,
iPhone 13 Pro Max,256,
iPhone 13 Pro Max,512,
iPhone 13 Pro Max,1024,
iPhone SE 2022,64,
iPhone SE 2022,128,
iPhone SE 2022,256,
iPhone 14,128,
iPhone 14,256,
iPhone 14,512,
iPhone 14 Plus,128,
iPhone 14 Plus,256,
iPhone 14 Plus,512,
iPhone 14 Pro,128,
iPhone 14 Pro,256,
iPhone 14 Pro,512,
iPhone 14 Pro,1024,
iPhone 14 Pro Max,128,
iPhone 14 Pro Max,256,
iPhone 14 Pro Max,512,
iPhone 14 Pro Max,1024,
iPhone 15,128,
iPhone 15,256,
iPhone 15,512,
iPhone 15 Plus,128,
iPhone 15 Plus,256,
iPhone 15 Plus,512,
iPhone 15 Pro,128,
iPhone 15 Pro,256,
iPhone 15 Pro,512,
iPhone 15 Pro,1024,
iPhone 15 Pro Max,256,
iPhone 15 Pro Max,512,
iPhone 15 Pro Max,1024,
iPhone 16,128,
iPhone 16,256,
iPhone 16,512,
iPhone 16 Plus,128,
iPhone 16 Plus,256,
iPhone 16 Plus,512,
iPhone 16 Pro,128,
iPhone 16 Pro,256,
iPhone 16 Pro,512,
iPhone 16 Pro,1024,
iPhone 16 Pro Max,256,
iPhone 16 Pro Max,512,
iPhone 16 Pro Max,1024,
iPhone 16e,128,
iPhone 16e,256,
iPhone 16e,512,
iPhone 17,128,
iPhone 17,256,
iPhone 17,512,
iPhone 17 Air,128,
iPhone 17 Air,256,
iPhone 17 Air,512,
iPhone 17 Pro,256,
iPhone 17 Pro,512,
iPhone 17 Pro,1024,
iPhone 17 Pro Max,256,
iPhone 17 Pro Max,512,
iPhone 17 Pro Max,1024,
